1122622.ATWJ01000012_gene946,ATWJ01000012_gene946,annotation&nbsp;not&nbsp;available,98.9
1122622.ATWJ01000001_gene2509,ATWJ01000001_gene2509,annotation&nbsp;not&nbsp;available,98.9
1122622.ATWJ01000007_gene1654,ATWJ01000007_gene1654,annotation&nbsp;not&nbsp;available,98.9
1122622.ATWJ01000007_gene1487,ATWJ01000007_gene1487,annotation&nbsp;not&nbsp;available,98.9
1122622.ATWJ01000009_gene3274,ATWJ01000009_gene3274,annotation&nbsp;not&nbsp;available,98.8
1122622.ATWJ01000007_gene1541,ATWJ01000007_gene1541,annotation&nbsp;not&nbsp;available,98.8
1122622.ATWJ01000001_gene2544,ATWJ01000001_gene2544,annotation&nbsp;not&nbsp;available,98.7
1122622.ATWJ01000011_gene2125,ATWJ01000011_gene2125,annotation&nbsp;not&nbsp;available,98.6
1122622.ATWJ01000010_gene1205,ATWJ01000010_gene1205,annotation&nbsp;not&nbsp;available,98.5
1122622.ATWJ01000009_gene3158,ATWJ01000009_gene3158,annotation&nbsp;not&nbsp;available,98.5
1122622.ATWJ01000011_gene2232,ATWJ01000011_gene2232,annotation&nbsp;not&nbsp;available,98.5
1122622.ATWJ01000002_gene792,ATWJ01000002_gene792,annotation&nbsp;not&nbsp;available,98.5
1122622.ATWJ01000011_gene2259,ATWJ01000011_gene2259,annotation&nbsp;not&nbsp;available,98.4
1122622.ATWJ01000011_gene2134,ATWJ01000011_gene2134,annotation&nbsp;not&nbsp;available,98.3
1122622.ATWJ01000013_gene92,ATWJ01000013_gene92,annotation&nbsp;not&nbsp;available,98.3
1122622.ATWJ01000012_gene898,ATWJ01000012_gene898,annotation&nbsp;not&nbsp;available,98.3
1122622.ATWJ01000013_gene196,ATWJ01000013_gene196,annotation&nbsp;not&nbsp;available,98.3
1122622.ATWJ01000010_gene1351,ATWJ01000010_gene1351,annotation&nbsp;not&nbsp;available,98.3
1122622.ATWJ01000008_gene2924,ATWJ01000008_gene2924,annotation&nbsp;not&nbsp;available,98.2
1122622.ATWJ01000012_gene915,ATWJ01000012_gene915,annotation&nbsp;not&nbsp;available,98.2
