1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000011_gene1279,BBJK01000011_gene1279,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000061_gene4735,BBJK01000061_gene4735,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000013_gene1456,BBJK01000013_gene1456,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000066_gene4878,BBJK01000066_gene4878,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000036_gene3310,hutH,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000031_gene2927,BBJK01000031_gene2927,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000008_gene1162,BBJK01000008_gene1162,annotation&nbsp;not&nbsp;available,98.9
1218084.BBJK01000060_gene4642,purE,N5-carboxyaminoimidazole&nbsp;ribonucleotide&nbsp;mutase,98.8
1218084.BBJK01000063_gene4784,BBJK01000063_gene4784,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000003_gene448,BBJK01000003_gene448,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000078_gene5395,BBJK01000078_gene5395,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000093_gene6056,BBJK01000093_gene6056,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000165_gene7773,BBJK01000165_gene7773,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000085_gene5707,BBJK01000085_gene5707,annotation&nbsp;not&nbsp;available,98.8
1218084.BBJK01000003_gene524,BBJK01000003_gene524,annotation&nbsp;not&nbsp;available,98.7
1218084.BBJK01000107_gene6608,prfC,Peptide&nbsp;chain&nbsp;release&nbsp;factor&nbsp;3,98.7
1218084.BBJK01000085_gene5756,BBJK01000085_gene5756,annotation&nbsp;not&nbsp;available,98.7
1218084.BBJK01000095_gene6152,BBJK01000095_gene6152,annotation&nbsp;not&nbsp;available,98.7
1218084.BBJK01000041_gene3683,BBJK01000041_gene3683,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000108_gene6653,rpsO,30S&nbsp;ribosomal&nbsp;protein&nbsp;S15,98.6
1218084.BBJK01000150_gene7562,BBJK01000150_gene7562,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000150_gene7572,BBJK01000150_gene7572,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000163_gene7756,rpsL,30S&nbsp;ribosomal&nbsp;protein&nbsp;S12,98.6
1218084.BBJK01000172_gene7883,BBJK01000172_gene7883,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,98.6
1218084.BBJK01000016_gene1635,BBJK01000016_gene1635,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000015_gene1573,BBJK01000015_gene1573,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000014_gene1505,BBJK01000014_gene1505,annotation&nbsp;not&nbsp;available,98.6
1218084.BBJK01000137_gene7267,leuB,3-isopropylmalate&nbsp;dehydrogenase,98.6
1218084.BBJK01000027_gene2656,ndk,Nucleoside&nbsp;diphosphate&nbsp;kinase,98.6
1218084.BBJK01000093_gene6093,BBJK01000093_gene6093,annotation&nbsp;not&nbsp;available,98.5
1218084.BBJK01000021_gene2164,BBJK01000021_gene2164,annotation&nbsp;not&nbsp;available,98.5
